user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
61,42.0,Male,Mobile,16.11,6,2,2,0,1,0,16.32,39.39,1
62,39.0,Male,Mobile,13.63,8,2,2,0,0,0,19.96,50.95,1
63,44.0,Female,Mobile,18.6,13,6,7,1,0,1,26.79,25.55,1
64,22.0,Female,Mobile,17.73,11,2,2,0,0,0,14.26,47.55,1
65,29.0,Male,Desktop,8.56,11,4,2,1,1,1,12.28,47.93,1
66,53.0,Female,Mobile,10.39,11,3,2,0,1,1,10.57,46.9,1
67,18.0,Male,Mobile,3.3,2,0,0,0,0,0,4.5,79.71,0
68,36.0,Male,Desktop,25.26,10,9,4,1,0,1,21.54,23.3,1
69,49.0,Male,Mobile,6.3,1,0,0,0,1,0,4.37,93.5,0
70,37.0,Female,Mobile,14.2,8,3,6,1,1,1,6.21,51.92,1
71,33.0,Female,Mobile,25.25,11,13,7,1,0,1,23.35,14.29,1
72,39.0,Male,Mobile,7.17,1,0,0,0,0,0,6.19,98.07,0
73,34.0,Male,Mobile,5.47,1,0,0,1,1,0,7.44,90.01,0
74,38.0,Female,Mobile,16.04,19,13,7,0,1,1,37.48,17.57,1
75,31.0,Female,Mobile,26.51,18,11,4,0,1,1,22.19,7.35,1
76,49.0,Male,Desktop,17.34,19,11,5,0,0,1,37.46,32.45,1
77,52.0,Male,Mobile,23.5,12,6,5,1,0,1,17.17,20.44,1
78,36.0,Female,Tablet,4.69,4,1,0,0,0,0,6.13,83.3,1
79,24.0,Female,Desktop,9.83,8,2,1,0,1,0,16.44,50.35,1
80,32.0,Male,Desktop,3.85,1,1,0,0,0,0,3.78,80.69,1
81,36.0,Male,Desktop,7.94,9,3,6,1,0,1,12.3,22.9,1
82,43.0,Male,Mobile,24.78,10,11,7,0,0,1,37.17,30.33,1
83,27.0,Male,Mobile,13.55,5,5,3,1,0,1,14.73,43.55,1
84,30.0,Male,Tablet,4.63,4,0,0,1,1,0,5.17,94.02,0
85,43.0,Male,Mobile,11.94,5,3,3,0,1,1,11.98,30.9,1
86,47.0,Female,Mobile,17.19,7,4,2,1,1,1,11.6,56.42,1
87,31.0,Female,Mobile,26.08,19,5,7,0,0,1,24.85,21.8,1
88,24.0,Female,Mobile,22.82,13,12,7,0,0,1,26.84,17.31,1
89,60.0,Male,Mobile,7.1,5,5,2,1,1,1,9.01,71.77,1
90,45.0,Male,Mobile,17.67,8,5,3,0,1,1,18.64,41.86,1
91,35.0,Female,Desktop,4.05,4,0,0,1,1,0,3.37,94.83,1
92,46.0,Female,Mobile,15.69,19,11,4,1,0,1,16.97,19.6,1
93,36.0,Male,Desktop,21.05,17,12,8,0,1,1,27.1,28.31,1
94,46.0,Female,Mobile,14.66,10,2,1,1,0,0,14.01,63.05,0
95,39.0,Female,Mobile,18.65,18,11,8,1,0,1,18.39,18.18,1
96,38.0,Male,Mobile,15.56,10,5,3,1,0,1,11.09,54.55,1
97,36.0,Female,Desktop,16.86,9,2,3,0,1,0,15.36,34.0,1
98,23.0,Female,Desktop,11.6,7,5,3,1,0,1,17.33,53.53,1
99,57.0,Female,Mobile,7.92,3,0,0,1,1,0,4.2,74.65,0
100,28.0,Male,Mobile,2.12,3,1,0,0,1,0,3.17,97.44,1
101,24.0,Male,Desktop,4.87,2,0,0,1,1,0,3.98,75.4,0
102,35.0,Female,Mobile,28.67,15,9,7,0,1,1,24.38,35.21,1
103,28.0,Female,Mobile,9.86,10,4,3,0,1,1,19.61,31.87,1
104,37.0,Male,Mobile,,6,2,2,0,0,0,18.44,38.16,1
105,44.0,Male,Desktop,11.5,6,4,6,0,1,1,10.27,26.64,1
106,47.0,Male,Mobile,2.79,2,0,0,1,1,0,7.88,72.96,1
107,46.0,Male,Mobile,9.1,11,4,3,0,0,1,10.05,52.61,1
108,34.0,Male,Mobile,19.42,16,11,5,0,0,1,15.75,39.25,1
109,38.0,Female,Desktop,5.81,4,1,0,1,1,0,6.64,91.84,1
110,42.0,Male,Mobile,6.58,3,1,0,1,1,0,5.51,74.73,0
111,20.0,Female,Desktop,15.89,8,4,2,0,0,1,15.54,59.19,1
112,43.0,Female,Desktop,4.27,2,1,0,1,0,0,2.88,82.63,0
113,23.0,Male,Mobile,12.37,9,5,3,0,0,1,23.58,47.43,0
114,58.0,Male,Mobile,18.11,13,13,6,0,1,1,29.73,35.65,1
115,33.0,Male,Tablet,22.16,15,12,6,1,1,1,30.42,9.8,1
116,36.0,Female,Mobile,3.65,9,3,6,1,0,1,8.51,46.98,1
117,30.0,Male,Mobile,26.02,14,9,7,0,1,1,30.01,11.62,0
118,31.0,Female,Tablet,4.72,2,1,0,1,0,0,5.27,78.64,0
119,60.0,Male,Desktop,7.64,3,1,5,0,0,0,11.58,67.75,1
120,47.0,Female,Mobile,14.23,5,4,3,1,1,1,12.19,35.96,1
121,22.0,Female,Mobile,23.22,18,6,3,0,1,1,29.74,16.83,1
122,53.0,Male,Mobile,13.8,8,2,2,0,0,0,19.2,73.04,1
123,49.0,Male,Tablet,13.71,7,2,2,0,1,0,18.71,60.88,0
124,35.0,Female,Desktop,2.91,2,0,0,0,1,0,2.09,99.96,1
125,41.0,Female,Mobile,2.55,1,0,0,1,1,0,6.41,71.03,1
126,37.0,Male,Desktop,14.51,5,3,2,0,0,1,15.8,59.65,1
127,57.0,Female,Desktop,29.53,11,12,7,1,1,1,36.62,15.18,1
128,30.0,Female,Mobile,7.21,5,3,6,0,1,1,6.44,35.49,1
129,39.0,Male,Mobile,3.98,1,0,0,0,0,0,3.65,71.77,1
130,33.0,Male,Mobile,9.12,11,2,2,0,1,0,17.25,43.59,1
131,23.0,Female,Desktop,12.04,5,3,2,1,0,1,10.31,52.1,1
132,59.0,Female,Mobile,4.83,4,1,0,1,1,0,6.31,99.66,0
133,26.0,Male,Desktop,5.12,1,0,0,0,0,0,5.88,97.46,1
134,40.0,Male,Mobile,11.56,9,4,3,0,1,1,14.38,50.93,1
135,20.0,Male,Mobile,8.9,7,4,6,0,0,1,14.55,30.62,1
136,34.0,Female,Mobile,12.68,11,5,3,0,1,1,10.92,64.52,1
137,42.0,Male,Desktop,9.18,7,3,3,0,0,1,10.58,33.74,1
138,29.0,Female,Mobile,25.56,19,5,8,0,0,1,32.14,19.97,1
139,43.0,Male,Mobile,9.99,10,5,1,0,0,1,16.44,52.07,1
140,35.0,Male,Mobile,6.69,7,5,4,1,0,1,12.62,39.42,1
141,49.0,Female,Desktop,9.46,4,4,5,1,1,1,21.97,79.84,1
142,51.0,Male,Mobile,10.38,11,5,3,0,0,1,15.89,69.9,1
143,32.0,Female,Mobile,16.97,8,4,2,1,1,1,13.81,37.16,1
144,38.0,Male,Mobile,11.81,10,2,1,1,0,0,12.92,42.17,1
145,39.0,Male,Mobile,9.72,10,2,2,1,0,0,9.35,67.35,0
146,44.0,Male,Mobile,7.57,1,1,0,1,1,0,2.46,98.67,0
147,38.0,Male,Desktop,19.09,10,11,5,1,0,1,29.7,18.76,1
148,39.0,Male,Mobile,8.93,8,3,3,1,1,1,13.71,36.93,1
149,35.0,Female,Desktop,7.07,2,1,0,0,0,0,3.5,91.73,0
150,39.0,Female,Mobile,10.66,8,4,2,1,1,1,11.7,61.11,1
151,50.0,Female,Mobile,3.17,7,5,5,1,0,1,9.69,48.67,1
152,44.0,Male,Mobile,7.89,2,1,0,0,0,0,5.9,92.89,0
153,45.0,Male,Mobile,4.77,2,1,0,0,0,0,4.85,96.17,0
154,45.0,Male,Desktop,11.75,7,2,3,1,1,0,18.24,63.3,1
155,36.0,Male,Tablet,13.28,7,1,2,1,1,0,22.24,38.88,1
156,41.0,Female,Mobile,3.28,3,0,0,0,1,0,3.79,84.09,1
157,27.0,Female,Mobile,20.69,10,9,8,1,0,1,19.25,20.67,1
158,50.0,Male,Tablet,28.42,11,12,3,1,0,1,36.05,9.16,1
159,18.0,Female,Mobile,3.11,2,1,0,1,0,0,3.14,87.23,0
160,37.0,Male,Mobile,27.67,16,6,7,0,1,1,32.86,27.52,1
161,49.0,Male,Mobile,11.44,8,5,1,1,0,1,8.8,33.1,1
162,24.0,Male,Mobile,26.07,19,5,8,0,0,1,20.65,14.71,1
163,41.0,Female,Desktop,23.48,13,5,4,1,0,1,21.91,28.02,1
164,31.0,Male,Desktop,8.74,5,2,1,1,1,0,17.39,56.97,1
165,34.0,Female,Mobile,5.99,1,0,0,0,0,0,5.49,96.91,0
166,47.0,Female,Desktop,28.8,19,12,4,1,0,1,21.51,17.79,1
167,39.0,Male,Mobile,8.74,5,5,1,1,1,1,8.3,40.29,1
168,18.0,Female,Tablet,7.17,1,1,0,1,1,0,2.2,93.12,0
169,28.0,Male,Mobile,4.39,3,0,0,1,0,0,5.42,79.88,0
170,47.0,Female,Mobile,11.91,7,5,2,0,0,1,11.42,41.45,1
171,42.0,Male,Tablet,27.59,18,13,3,1,0,1,36.17,10.81,1
172,55.0,Male,Desktop,5.69,1,1,0,0,1,0,2.76,71.06,1
173,54.0,Male,Desktop,12.14,9,5,1,0,0,1,13.66,50.02,1
174,34.0,Male,Mobile,5.84,4,1,0,0,1,0,2.02,78.57,0
175,60.0,Male,Desktop,16.17,18,7,5,1,0,1,36.06,22.22,1
176,38.0,Female,Mobile,2.7,4,1,0,1,0,0,6.16,81.69,1
177,28.0,Male,Desktop,19.4,12,13,4,0,0,1,28.62,5.36,1
178,31.0,Male,Tablet,9.6,6,2,3,1,0,0,14.78,64.3,1
179,18.0,Female,Mobile,13.75,9,3,4,0,0,1,9.82,75.04,1
180,54.0,Male,Mobile,3.91,1,0,0,1,1,0,3.27,95.16,1
181,53.0,Male,Desktop,17.47,10,4,3,0,1,1,9.57,67.26,0
182,27.0,Female,Mobile,3.77,3,0,0,1,0,0,7.93,75.12,1
183,35.0,Male,Mobile,5.67,8,4,2,1,0,1,20.62,63.26,1
184,38.0,Female,Mobile,10.66,9,2,3,1,0,0,15.89,22.48,1
185,28.0,Female,Mobile,12.36,10,5,2,1,1,1,16.08,65.94,1
186,20.0,Female,Mobile,23.95,14,11,5,0,1,1,21.39,9.46,1
187,35.0,Male,Mobile,26.47,11,13,5,0,0,1,29.96,32.67,1
188,34.0,Female,Mobile,10.89,7,3,1,0,0,1,11.59,66.67,1
189,34.0,Male,Mobile,8.82,11,4,1,0,1,1,14.51,58.82,1
190,40.0,Female,Mobile,4.38,2,0,0,0,0,0,2.72,84.03,1
191,52.0,Female,Mobile,7.53,3,0,0,0,1,0,2.95,94.11,1
192,34.0,Female,Desktop,4.77,3,1,3,1,1,0,22.88,74.27,1
193,39.0,Male,Mobile,4.86,7,3,3,1,1,1,16.74,70.41,1
194,45.0,Female,Desktop,25.17,16,9,5,1,0,1,26.1,33.47,1
195,43.0,Male,Desktop,17.55,10,2,3,1,0,0,8.97,57.08,1
196,31.0,Female,Mobile,9.27,9,4,1,0,1,1,14.19,36.76,0
197,38.0,Female,Mobile,24.96,13,11,6,1,0,1,18.92,19.68,1
198,43.0,Male,Desktop,7.15,5,2,4,0,0,0,16.5,63.21,1
199,,Female,Mobile,8.49,4,5,6,1,1,1,24.44,55.73,1
200,50.0,Female,Mobile,21.77,14,10,7,0,1,1,17.43,23.5,1
201,52.0,Male,Mobile,27.77,12,6,7,1,0,1,16.75,9.54,1
202,30.0,Male,Mobile,3.96,1,1,0,1,0,0,3.92,97.42,1
203,39.0,Female,Mobile,5.19,1,1,0,1,0,0,6.56,73.26,0
204,44.0,Female,Mobile,9.23,4,1,2,1,0,0,14.15,40.94,1
205,32.0,Female,Mobile,16.87,17,9,8,0,0,1,18.83,33.74,1
206,42.0,Male,Desktop,5.28,2,0,0,1,1,0,7.82,76.03,1
207,39.0,Male,Tablet,6.95,3,1,0,1,0,0,2.04,93.56,1
208,23.0,Female,Mobile,19.16,19,6,4,0,1,1,36.69,36.18,1
209,42.0,Male,Mobile,7.83,4,1,0,1,0,0,7.32,99.14,1
210,26.0,Male,Desktop,2.68,1,0,0,1,1,0,5.27,72.28,0
211,47.0,Female,Mobile,13.3,11,2,1,1,0,0,8.64,51.71,1
212,31.0,Male,Mobile,25.2,13,6,4,1,1,1,37.85,23.61,1
213,36.0,Male,Desktop,28.44,15,13,5,1,0,1,32.1,31.35,1
214,51.0,Male,Desktop,5.79,2,0,0,0,1,0,5.09,80.11,1
215,42.0,Male,Mobile,29.69,13,11,4,1,1,1,31.95,35.11,1
216,27.0,Male,Mobile,6.27,4,0,0,1,1,0,6.17,74.09,0
217,27.0,Female,Mobile,15.76,11,4,2,1,0,1,18.2,68.07,1
218,32.0,Male,Mobile,28.14,12,12,3,1,1,1,18.1,29.89,1
219,41.0,Male,Mobile,20.35,19,7,3,0,0,1,33.36,25.51,1
220,41.0,Male,Mobile,22.74,13,9,7,0,1,1,18.05,35.89,1
221,29.0,Male,Mobile,21.44,18,6,5,0,0,1,19.67,17.3,1
222,26.0,Female,Mobile,15.26,5,4,3,1,0,1,15.59,45.15,1
223,40.0,Female,Mobile,5.91,4,0,0,1,1,0,7.65,78.27,0
224,36.0,Male,Tablet,10.13,11,5,2,1,1,1,17.05,45.51,1
225,59.0,Female,Desktop,12.66,6,2,1,1,0,0,10.14,60.88,1
226,38.0,Male,Desktop,4.91,3,0,0,1,1,0,6.91,95.28,0
227,56.0,Female,Mobile,11.08,4,4,6,1,1,1,19.33,48.35,1
228,26.0,Male,Mobile,17.0,9,3,1,0,1,1,12.53,57.42,1
229,22.0,Male,Desktop,6.38,9,3,4,1,1,1,24.87,52.55,1
230,26.0,Female,Mobile,18.0,10,8,3,0,1,1,23.12,9.35,0
231,49.0,Male,Mobile,16.59,12,9,6,1,0,1,39.26,32.05,1
232,55.0,Female,Mobile,16.38,7,2,1,0,1,0,8.68,37.15,1
233,30.0,Male,Mobile,11.23,6,4,2,1,1,1,16.34,46.06,1
234,33.0,Female,Tablet,16.67,5,2,3,1,0,0,9.77,56.49,0
235,26.0,Female,Mobile,3.68,4,1,0,1,1,0,7.72,83.98,1
236,19.0,Female,Mobile,19.87,14,12,6,1,1,1,19.55,18.72,1
237,45.0,Female,Mobile,9.38,8,3,3,0,1,1,14.47,44.1,1
238,40.0,Male,Desktop,2.56,1,1,0,1,0,0,6.78,94.01,0
239,38.0,Male,Mobile,25.3,19,13,7,1,0,1,22.14,34.81,1
240,23.0,Female,Desktop,4.89,2,1,0,0,1,0,3.43,77.67,0
241,54.0,Male,Mobile,12.92,8,4,4,1,1,1,12.83,61.74,1
242,32.0,Male,Desktop,9.94,3,1,5,0,0,0,5.73,70.04,1
243,43.0,Male,Mobile,5.48,6,5,3,1,1,1,10.58,76.93,1
244,23.0,Female,Mobile,16.84,11,3,2,1,0,1,12.43,43.79,1
245,36.0,Female,Desktop,2.7,2,1,0,0,1,0,7.18,91.94,0
246,40.0,Male,Desktop,6.19,4,4,3,1,1,1,10.81,68.22,1
247,41.0,Male,Tablet,12.83,7,2,2,0,1,0,18.96,63.14,1
248,39.0,Female,Mobile,4.84,8,1,5,1,0,0,19.99,38.27,1
249,42.0,Male,Mobile,5.53,5,2,4,1,0,0,7.28,41.16,1
250,26.0,Male,Mobile,12.72,7,1,4,0,1,0,16.55,61.34,1
251,39.0,Male,Mobile,17.39,5,3,3,0,0,1,12.72,34.94,0
252,39.0,Female,Mobile,12.28,8,4,2,0,1,1,16.64,59.74,1
253,40.0,Female,Mobile,4.74,6,4,3,1,1,1,21.39,39.21,0
254,38.0,Female,Desktop,17.97,6,2,1,1,0,0,15.73,54.29,1
255,25.0,Male,Mobile,3.59,2,0,0,0,0,0,5.68,86.3,0
256,24.0,Male,Mobile,17.63,9,3,3,1,1,1,12.48,69.76,1
257,18.0,Male,Mobile,4.95,3,1,5,0,0,0,13.56,75.33,1
258,46.0,Female,Mobile,17.24,19,7,3,0,1,1,23.08,17.54,1
259,46.0,Female,Tablet,8.78,6,4,3,0,0,1,8.06,56.29,1
260,46.0,Female,Mobile,7.44,1,1,0,1,1,0,3.27,83.44,0
261,41.0,Male,Tablet,18.27,15,9,6,0,1,1,15.92,24.3,1
262,18.0,Female,Tablet,3.69,8,1,4,1,1,0,19.41,39.94,1
263,27.0,Male,Tablet,6.42,2,0,0,1,0,0,7.22,81.47,0
264,39.0,Male,Desktop,15.4,7,4,3,1,1,1,9.02,41.68,1
265,39.0,Female,Mobile,7.51,4,2,2,1,0,0,8.51,56.29,1
266,35.0,Male,Mobile,20.7,15,11,8,0,0,1,33.16,5.42,1
267,41.0,Male,Mobile,23.96,14,8,7,1,0,1,25.47,34.04,1
268,38.0,Female,Mobile,15.1,15,8,4,1,0,1,25.34,36.07,1
269,39.0,Male,Desktop,13.29,11,2,2,1,0,0,15.78,44.47,1
270,31.0,Female,Desktop,11.98,6,4,3,0,1,1,9.39,62.6,1
271,47.0,Female,Mobile,15.28,11,9,3,0,0,1,39.61,38.48,1
272,33.0,Female,Mobile,23.78,18,9,3,1,0,1,38.67,18.01,1
273,24.0,Male,Mobile,13.94,5,2,5,1,0,0,14.31,40.95,1
274,30.0,Female,Mobile,9.02,7,1,5,0,0,0,9.24,68.95,0
275,34.0,Female,Mobile,10.13,8,5,1,1,0,1,14.82,47.77,1
276,47.0,Female,Desktop,8.7,6,2,1,1,0,0,10.97,52.92,1
277,37.0,Male,Desktop,22.56,19,6,7,1,0,1,26.33,29.12,1
278,36.0,Male,Mobile,25.29,14,10,8,1,0,1,32.31,27.73,1
279,25.0,Male,Mobile,17.92,13,6,8,1,1,1,22.94,10.5,1
280,45.0,Female,Mobile,29.12,11,9,4,1,1,1,23.11,16.83,1
281,31.0,Female,Mobile,11.1,5,4,3,0,0,1,8.46,51.6,1
282,36.0,Female,Tablet,10.26,8,4,3,0,0,1,9.01,37.43,1
283,52.0,Male,Mobile,12.83,11,4,3,1,0,1,19.89,47.26,1
284,43.0,Female,Mobile,2.02,4,1,0,0,0,0,6.04,71.95,1
285,21.0,Female,Desktop,8.5,8,4,1,1,1,1,8.43,61.97,1
286,20.0,Male,Mobile,3.5,4,0,0,0,1,0,7.12,83.63,1
287,37.0,Male,Mobile,13.7,6,5,1,0,1,1,17.2,32.54,1
288,25.0,Female,Desktop,13.71,9,4,2,1,1,1,8.07,69.35,1
289,44.0,Female,Desktop,11.36,11,5,3,0,0,1,14.58,50.94,1
290,38.0,Female,Mobile,10.12,8,5,1,1,1,1,13.19,34.41,1
291,39.0,Male,Mobile,7.39,1,0,0,1,1,0,3.99,88.77,0
292,30.0,Male,Mobile,5.74,4,1,0,0,0,0,2.68,99.01,1
293,55.0,Female,Mobile,17.37,13,10,4,1,0,1,21.92,8.29,1
294,60.0,Male,Mobile,10.06,7,2,1,0,0,0,9.85,49.66,1
295,35.0,Male,Desktop,6.23,1,0,0,1,1,0,4.38,81.68,1
296,41.0,Female,Desktop,10.04,6,3,2,1,1,1,19.56,49.96,1
297,38.0,Female,Mobile,16.62,11,11,6,1,0,1,24.62,14.61,1
298,35.0,Male,Mobile,7.76,1,1,0,1,1,0,6.52,76.05,1
299,29.0,Male,Mobile,26.49,11,5,5,1,1,1,23.82,38.02,1
300,27.0,Male,Mobile,5.51,4,0,0,1,0,0,6.8,98.77,0
301,26.0,Male,Desktop,7.61,3,1,0,1,1,0,2.57,92.94,0
302,42.0,Female,Mobile,13.94,7,3,3,1,1,1,10.06,56.62,1
303,32.0,Male,Mobile,10.0,9,3,2,1,0,1,14.8,68.16,1
304,18.0,Female,Desktop,17.39,18,8,8,1,0,1,22.3,35.13,1
305,42.0,Male,Mobile,15.77,18,10,8,0,1,1,30.76,16.22,1
306,37.0,Female,Mobile,14.89,5,2,5,1,0,0,9.39,40.0,1
307,51.0,Male,Mobile,15.48,11,3,2,0,0,1,17.64,40.5,1
308,41.0,Female,Mobile,17.92,7,2,2,1,0,0,18.07,61.04,0
309,23.0,Female,Mobile,29.51,10,11,6,0,1,1,36.5,30.83,1
310,18.0,Female,Desktop,8.96,11,3,1,1,0,1,12.05,31.55,1
311,30.0,Male,Mobile,11.22,8,4,2,1,1,1,18.44,58.44,1
312,31.0,Male,Tablet,2.28,1,1,0,0,1,0,7.84,75.67,1
313,47.0,Male,Mobile,4.45,2,1,0,1,1,0,3.32,80.55,1
314,37.0,Male,Desktop,11.25,4,5,6,1,0,1,22.08,67.0,1
315,49.0,Female,Desktop,29.31,15,8,4,0,1,1,33.19,7.89,1
316,24.0,Male,Mobile,21.54,14,10,6,1,1,1,39.22,9.77,1
317,47.0,Female,Mobile,11.16,11,2,2,1,1,0,18.0,31.44,1
318,45.0,Female,Mobile,2.92,3,0,0,0,0,0,3.06,88.08,0
319,18.0,Male,Tablet,6.52,4,1,0,1,1,0,7.22,89.14,0
320,51.0,Female,Mobile,10.6,10,2,1,0,1,0,16.98,38.4,1
321,38.0,Female,Mobile,8.39,9,3,2,0,0,1,11.1,50.06,1
322,41.0,Male,Desktop,18.57,11,10,7,0,0,1,32.73,26.02,1
323,29.0,Male,Mobile,25.98,14,12,7,1,1,1,39.73,8.52,1
324,50.0,Female,Mobile,11.04,6,3,3,1,0,1,13.55,69.95,1
325,26.0,Male,Mobile,10.38,6,1,5,1,0,0,11.25,56.56,0
326,46.0,Female,Mobile,16.49,16,9,3,0,0,1,19.64,7.19,1
327,46.0,Male,Desktop,14.25,11,4,2,0,0,1,17.83,42.88,1
328,28.0,Male,Desktop,17.9,17,8,4,1,0,1,15.65,19.75,1
329,57.0,Female,Tablet,17.21,9,5,1,0,1,1,17.24,39.37,1
330,40.0,Male,Mobile,3.18,1,1,0,0,1,0,7.95,98.11,0
331,44.0,Male,Mobile,16.57,9,3,3,1,1,1,15.6,42.42,1
332,22.0,Male,Desktop,24.97,11,13,4,1,1,1,37.93,23.66,1
333,59.0,Female,Mobile,4.78,2,1,0,1,0,0,6.98,82.05,0
334,25.0,Female,Mobile,7.56,1,1,0,1,0,0,2.98,72.48,1
335,48.0,Male,Mobile,6.32,2,1,0,1,0,0,6.5,93.56,0
336,28.0,Female,Mobile,6.17,4,0,0,0,0,0,5.8,92.7,0
337,31.0,Female,Tablet,3.05,3,3,5,1,1,1,9.59,73.56,1
338,45.0,Female,Mobile,21.08,13,10,6,0,1,1,34.77,18.66,1
339,48.0,Male,Desktop,11.56,9,4,1,1,0,1,17.72,64.67,1
340,25.0,Male,Desktop,3.77,4,0,0,1,1,0,3.89,82.08,1
341,48.0,Male,Mobile,11.71,11,3,2,1,0,1,15.01,48.61,1
342,48.0,Female,Desktop,9.35,10,3,3,1,1,1,16.51,43.12,1
343,28.0,Female,Mobile,6.28,2,1,0,0,1,0,6.77,95.51,1
344,53.0,Male,Mobile,14.16,8,2,3,0,0,0,16.3,52.28,1
345,23.0,Male,Desktop,11.91,7,5,2,1,1,1,17.5,58.69,1
346,31.0,Male,Mobile,18.7,16,5,6,1,0,1,38.67,34.49,1
